Date,Month,Year,Open,High,Low,Close,Adj Close,Volume
11/24/2014,November,2014,13275,13525,13225,13275,12520.87305,15453800
11/25/2014,November,2014,13250,13325,13250,13250,12497.29395,16735700
11/26/2014,November,2014,13225,13325,13225,13225,12473.71387,6002200
11/27/2014,November,2014,13100,13325,13050,13100,12355.81543,15265700
11/28/2014,November,2014,13100,13175,13025,13100,12355.81543,8120300
12/1/2014,December,2014,13200,13200,13050,13075,12332.23438,13353600
12/2/2014,December,2014,13075,13300,13075,13200,12450.13477,17517100
12/3/2014,December,2014,13225,13350,13100,13250,12497.29395,11391700
12/4/2014,December,2014,13350,13400,13250,13250,12497.29395,10569600
12/5/2014,December,2014,13300,13425,13275,13350,12639.30664,13317300
12/8/2014,December,2014,13275,13400,13225,13275,12568.30078,7487100
12/9/2014,December,2014,13300,13400,13150,13250,12544.63281,7650800
12/10/2014,December,2014,13150,13375,13150,13300,12591.96973,6599600
12/11/2014,December,2014,13300,13375,13225,13275,12568.30078,10891900
12/12/2014,December,2014,13200,13325,13200,13250,12544.63281,10060400
12/15/2014,December,2014,13000,13100,12875,13050,12355.2793,18926600
12/16/2014,December,2014,12950,13200,12825,12850,12165.92578,14152600
12/17/2014,December,2014,13000,13050,12850,12850,12165.92578,10292800
12/18/2014,December,2014,13000,13050,12925,12975,12284.27051,10454200
12/19/2014,December,2014,13150,13250,13100,13175,12473.625,16677900
12/22/2014,December,2014,13250,13250,13075,13075,12378.94629,6660200
12/23/2014,December,2014,13200,13200,13125,13150,12449.95508,4226400
12/24/2014,December,2014,13250,13275,13175,13200,12497.29297,3827100
12/29/2014,December,2014,13150,13250,13125,13150,12449.95508,4863000
12/30/2014,December,2014,13075,13200,13075,13125,12426.28613,6467700
1/2/2015,January,2015,13275,13275,13150,13225,12520.96191,5860500
1/5/2015,January,2015,13150,13200,13125,13200,12497.29297,5086900
1/6/2015,January,2015,13000,13200,13000,13100,12402.61621,9736300
1/7/2015,January,2015,13050,13200,13050,13125,12426.28613,8066800
1/8/2015,January,2015,13125,13150,12975,12975,12284.27051,10891400
